,symbol,metric,value
936,CL,Day's Range,80.46 - 81.19
937,CL,52 Week Range,72.20 - 85.61
938,CL,Volume,"2,213,926"
939,CL,Avg. Volume,"4,383,880"
940,CMCSA,Previous Close,37.24
941,CMCSA,Open,37.21
942,CMCSA,Bid,37.05 x 3200
943,CMCSA,Ask,0.00 x 900
944,CMCSA,Day's Range,37.07 - 37.66
945,CMCSA,52 Week Range,36.57 - 61.80
946,CMCSA,Volume,"17,668,298"
947,CMCSA,Avg. Volume,"22,435,887"
948,CMA,Previous Close,84.98
949,CMA,Open,83.46
950,CMA,Bid,82.07 x 1000
951,CMA,Ask,84.64 x 900
952,CMA,Day's Range,82.13 - 83.46
953,CMA,52 Week Range,70.37 - 102.09
954,CMA,Volume,"513,715"
955,CMA,Avg. Volume,"1,084,645"
956,CAG,Previous Close,35.19
957,CAG,Open,35.23
958,CAG,Bid,35.44 x 900
959,CAG,Ask,35.70 x 1000
960,CAG,Day's Range,35.03 - 35.60
961,CAG,52 Week Range,30.06 - 36.97
962,CAG,Volume,"2,360,006"
963,CAG,Avg. Volume,"3,787,512"
964,COP,Previous Close,108.45
965,COP,Open,108.11
966,COP,Bid,0.00 x 900
967,COP,Ask,0.00 x 800
968,COP,Day's Range,107.84 - 110.76
969,COP,52 Week Range,54.42 - 124.08
970,COP,Volume,"6,066,293"
971,COP,Avg. Volume,"7,873,674"
972,ED,Previous Close,98.76
973,ED,Open,98.56
974,ED,Bid,0.00 x 900
975,ED,Ask,100.20 x 800
976,ED,Day's Range,97.94 - 98.96
977,ED,52 Week Range,71.52 - 101.57
978,ED,Volume,"935,123"
979,ED,Avg. Volume,"1,673,417"
980,STZ,Previous Close,254.18
981,STZ,Open,254.00
982,STZ,Bid,216.75 x 800
983,STZ,Ask,0.00 x 1000
984,STZ,Day's Range,253.39 - 258.92
985,STZ,52 Week Range,207.35 - 261.52
986,STZ,Volume,"818,819"
987,STZ,Avg. Volume,"1,016,674"
988,CEG,Previous Close,79.75
989,CEG,Open,79.66
990,CEG,Bid,0.00 x 800
991,CEG,Ask,0.00 x 1000
992,CEG,Day's Range,79.39 - 80.82
993,CEG,52 Week Range,38.00 - 82.43
994,CEG,Volume,"1,430,207"
995,CEG,Avg. Volume,"2,655,140"
996,COO,Previous Close,313.44
997,COO,Open,314.41
998,COO,Bid,125.44 x 900
999,COO,Ask,501.72 x 900
1000,COO,Day's Range,311.80 - 315.29
1001,COO,52 Week Range,284.01 - 463.59
1002,COO,Volume,"170,071"
1003,COO,Avg. Volume,"359,168"
1004,CPRT,Previous Close,124.76
1005,CPRT,Open,124.33
1006,CPRT,Bid,123.89 x 800
1007,CPRT,Ask,124.46 x 1000
1008,CPRT,Day's Range,123.86 - 125.43
1009,CPRT,52 Week Range,102.21 - 161.12
1010,CPRT,Volume,"483,878"
1011,CPRT,Avg. Volume,"1,059,556"
1012,GLW,Previous Close,35.04
1013,GLW,Open,34.95
1014,GLW,Bid,0.00 x 1800
1015,GLW,Ask,35.90 x 2900
1016,GLW,Day's Range,34.62 - 35.19
1017,GLW,52 Week Range,30.63 - 43.47
1018,GLW,Volume,"5,609,320"
1019,GLW,Avg. Volume,"4,539,156"
1020,CTVA,Previous Close,61.77
1021,CTVA,Open,61.90
1022,CTVA,Bid,62.00 x 1000
1023,CTVA,Ask,0.00 x 900
1024,CTVA,Day's Range,61.23 - 62.47
1025,CTVA,52 Week Range,40.72 - 64.03
1026,CTVA,Volume,"2,252,883"
1027,CTVA,Avg. Volume,"3,636,956"
1028,COST,Previous Close,542.07
1029,COST,Open,542.75
1030,COST,Bid,0.00 x 900
1031,COST,Ask,0.00 x 1800
1032,COST,Day's Range,539.36 - 545.18
1033,COST,52 Week Range,406.51 - 612.27
1034,COST,Volume,"1,145,789"
1035,COST,Avg. Volume,"2,429,758"
1036,CTRA,Previous Close,30.31
1037,CTRA,Open,30.44
1038,CTRA,Bid,0.00 x 1300
1039,CTRA,Ask,35.00 x 900
1040,CTRA,Day's Range,30.08 - 31.33
1041,CTRA,52 Week Range,14.68 - 36.55
1042,CTRA,Volume,"6,345,167"
1043,CTRA,Avg. Volume,"10,129,340"
1044,CCI,Previous Close,173.11
1045,CCI,Open,173.32
1046,CCI,Bid,165.00 x 800
1047,CCI,Ask,193.20 x 1100
1048,CCI,Day's Range,173.01 - 175.55
1049,CCI,52 Week Range,153.70 - 209.87
1050,CCI,Volume,"1,149,441"
1051,CCI,Avg. Volume,"1,528,659"
1052,CSX,Previous Close,33.63
1053,CSX,Open,33.53
1054,CSX,Bid,0.00 x 4000
1055,CSX,Ask,0.00 x 2900
1056,CSX,Day's Range,33.48 - 33.90
1057,CSX,52 Week Range,27.60 - 38.63
1058,CSX,Volume,"13,375,457"
1059,CSX,Avg. Volume,"15,450,219"
1060,CMI,Previous Close,225.02
1061,CMI,Open,224.60
1062,CMI,Bid,0.00 x 800
1063,CMI,Ask,0.00 x 800
1064,CMI,Day's Range,223.46 - 225.63
1065,CMI,52 Week Range,184.28 - 247.48
1066,CMI,Volume,"625,369"
1067,CMI,Avg. Volume,"889,508"
1068,CVS,Previous Close,101.13
1069,CVS,Open,100.75
1070,CVS,Bid,100.20 x 800
1071,CVS,Ask,102.60 x 1400
1072,CVS,Day's Range,100.21 - 101.39
1073,CVS,52 Week Range,81.78 - 111.25
1074,CVS,Volume,"4,731,281"
1075,CVS,Avg. Volume,"4,841,091"
1076,DHI,Previous Close,72.86
1077,DHI,Open,72.25
1078,DHI,Bid,75.16 x 1200
1079,DHI,Ask,0.00 x 800
1080,DHI,Day's Range,71.83 - 75.71
1081,DHI,52 Week Range,59.25 - 110.45
1082,DHI,Volume,"2,481,241"
1083,DHI,Avg. Volume,"3,521,427"
1084,DHR,Previous Close,284.04
1085,DHR,Open,285.03
1086,DHR,Bid,0.00 x 1000
1087,DHR,Ask,0.00 x 800
1088,DHR,Day's Range,283.08 - 286.23
1089,DHR,52 Week Range,233.71 - 333.96
1090,DHR,Volume,"1,552,726"
1091,DHR,Avg. Volume,"2,218,750"
1092,DRI,Previous Close,126.97
1093,DRI,Open,126.45
1094,DRI,Bid,0.00 x 1400
1095,DRI,Ask,0.00 x 1000
1096,DRI,Day's Range,124.61 - 128.55
1097,DRI,52 Week Range,110.96 - 164.28
1098,DRI,Volume,"1,105,033"
1099,DRI,Avg. Volume,"1,210,556"
1100,DVA,Previous Close,92.29
1101,DVA,Open,91.79
1102,DVA,Bid,0.00 x 900
1103,DVA,Ask,0.00 x 800
1104,DVA,Day's Range,90.57 - 92.18
1105,DVA,52 Week Range,74.97 - 133.88
1106,DVA,Volume,"486,511"
1107,DVA,Avg. Volume,"1,012,309"
1108,DE,Previous Close,374.88
1109,DE,Open,378.76
1110,DE,Bid,381.75 x 800
1111,DE,Ask,0.00 x 1100
1112,DE,Day's Range,374.12 - 382.35
1113,DE,52 Week Range,283.81 - 446.76
1114,DE,Volume,"1,540,118"
1115,DE,Avg. Volume,"1,602,330"
1116,DAL,Previous Close,32.87
1117,DAL,Open,32.88
1118,DAL,Bid,33.58 x 1800
1119,DAL,Ask,0.00 x 900
1120,DAL,Day's Range,32.67 - 33.41
1121,DAL,52 Week Range,28.10 - 46.27
1122,DAL,Volume,"5,646,238"
1123,DAL,Avg. Volume,"13,221,841"
1124,XRAY,Previous Close,35.78
1125,XRAY,Open,35.29
1126,XRAY,Bid,33.72 x 800
1127,XRAY,Ask,34.53 x 1300
1128,XRAY,Day's Range,34.30 - 35.29
1129,XRAY,52 Week Range,33.78 - 63.10
1130,XRAY,Volume,"2,490,424"
1131,XRAY,Avg. Volume,"1,892,350"
1132,DVN,Previous Close,70.88
1133,DVN,Open,71.42
1134,DVN,Bid,0.00 x 1100
1135,DVN,Ask,0.00 x 1000
1136,DVN,Day's Range,70.95 - 72.76
1137,DVN,52 Week Range,27.40 - 79.40
1138,DVN,Volume,"12,638,685"
1139,DVN,Avg. Volume,"12,595,701"
1140,DXCM,Previous Close,83.63
1141,DXCM,Open,84.11
1142,DXCM,Bid,0.00 x 900
1143,DXCM,Ask,0.00 x 800
1144,DXCM,Day's Range,84.07 - 87.23
1145,DXCM,52 Week Range,66.89 - 164.86
1146,DXCM,Volume,"2,476,636"
1147,DXCM,Avg. Volume,"3,173,475"
1148,FANG,Previous Close,135.12
1149,FANG,Open,134.80
1150,FANG,Bid,133.31 x 800
1151,FANG,Ask,0.00 x 900
1152,FANG,Day's Range,134.41 - 138.00
1153,FANG,52 Week Range,72.48 - 162.24
1154,FANG,Volume,"3,554,363"
1155,FANG,Avg. Volume,"2,982,504"
1156,DLR,Previous Close,125.20
1157,DLR,Open,124.99
1158,DLR,Bid,125.40 x 900
1159,DLR,Ask,0.00 x 900
1160,DLR,Day's Range,124.58 - 127.59
1161,DLR,52 Week Range,119.63 - 178.22
1162,DLR,Volume,"1,172,617"
1163,DLR,Avg. Volume,"1,542,170"
1164,DFS,Previous Close,104.05
1165,DFS,Open,103.77
1166,DFS,Bid,0.00 x 800
1167,DFS,Ask,106.20 x 800
1168,DFS,Day's Range,103.06 - 104.86
1169,DFS,52 Week Range,88.02 - 133.78
1170,DFS,Volume,"814,251"
1171,DFS,Avg. Volume,"1,892,704"
1172,DISH,Previous Close,17.40
1173,DISH,Open,17.56
1174,DISH,Bid,0.00 x 2200
1175,DISH,Ask,0.00 x 900
1176,DISH,Day's Range,17.43 - 17.74
1177,DISH,52 Week Range,16.20 - 46.31
1178,DISH,Volume,"2,732,497"
1179,DISH,Avg. Volume,"3,737,453"
1180,DIS,Previous Close,114.86
1181,DIS,Open,114.67
1182,DIS,Bid,117.11 x 800
1183,DIS,Ask,117.80 x 900
1184,DIS,Day's Range,114.10 - 117.16
1185,DIS,52 Week Range,90.23 - 187.58
1186,DIS,Volume,"7,115,253"
1187,DIS,Avg. Volume,"11,937,700"
1188,DG,Previous Close,247.60
1189,DG,Open,247.55
1190,DG,Bid,249.45 x 800
1191,DG,Ask,0.00 x 900
1192,DG,Day's Range,246.28 - 249.62
1193,DG,52 Week Range,183.25 - 262.21
1194,DG,Volume,"1,694,752"
1195,DG,Avg. Volume,"1,720,598"
1196,DLTR,Previous Close,166.11
1197,DLTR,Open,166.62
1198,DLTR,Bid,0.00 x 1000
1199,DLTR,Ask,0.00 x 1200
1200,DLTR,Day's Range,163.77 - 166.96
1201,DLTR,52 Week Range,84.26 - 177.19
1202,DLTR,Volume,"2,708,398"
1203,DLTR,Avg. Volume,"2,106,450"
1204,D,Previous Close,83.93
1205,D,Open,84.03
1206,D,Bid,0.00 x 1400
1207,D,Ask,0.00 x 800
1208,D,Day's Range,83.68 - 84.53
1209,D,52 Week Range,70.37 - 88.78
1210,D,Volume,"1,963,319"
1211,D,Avg. Volume,"3,164,150"
1212,DPZ,Previous Close,392.46
1213,DPZ,Open,393.32
1214,DPZ,Bid,0.00 x 1200
1215,DPZ,Ask,0.00 x 900
1216,DPZ,Day's Range,390.02 - 397.36
1217,DPZ,52 Week Range,321.15 - 567.57
1218,DPZ,Volume,"367,144"
1219,DPZ,Avg. Volume,"550,704"
1220,DOV,Previous Close,133.14
1221,DOV,Open,133.11
1222,DOV,Bid,0.00 x 1000
1223,DOV,Ask,0.00 x 1400
1224,DOV,Day's Range,132.33 - 133.58
1225,DOV,52 Week Range,116.66 - 184.05
1226,DOV,Volume,"788,191"
1227,DOV,Avg. Volume,"890,195"
1228,DOW,Previous Close,55.62
1229,DOW,Open,55.50
1230,DOW,Bid,54.50 x 1800
1231,DOW,Ask,54.97 x 1100
1232,DOW,Day's Range,54.08 - 55.64
1233,DOW,52 Week Range,48.27 - 71.86
1234,DOW,Volume,"6,795,864"
1235,DOW,Avg. Volume,"5,864,780"
1236,DTE,Previous Close,133.88
1237,DTE,Open,134.28
1238,DTE,Bid,0.00 x 1200
1239,DTE,Ask,140.00 x 800
1240,DTE,Day's Range,133.44 - 134.53
1241,DTE,52 Week Range,108.22 - 140.23
1242,DTE,Volume,"564,836"
1243,DTE,Avg. Volume,"899,924"
1244,DUK,Previous Close,111.03
1245,DUK,Open,111.20
1246,DUK,Bid,106.93 x 1000
1247,DUK,Ask,113.30 x 1000
1248,DUK,Day's Range,110.33 - 111.36
1249,DUK,52 Week Range,95.48 - 116.33
1250,DUK,Volume,"1,651,995"
1251,DUK,Avg. Volume,"2,562,779"
1252,DRE,Previous Close,63.49
1253,DRE,Open,62.90
1254,DRE,Bid,61.58 x 800
1255,DRE,Ask,62.19 x 900
1256,DRE,Day's Range,61.73 - 63.21
1257,DRE,52 Week Range,47.12 - 66.22
1258,DRE,Volume,"1,915,987"
1259,DRE,Avg. Volume,"2,821,872"
1260,DD,Previous Close,59.37
1261,DD,Open,59.58
1262,DD,Bid,59.54 x 900
1263,DD,Ask,60.50 x 1000
1264,DD,Day's Range,59.03 - 59.74
1265,DD,52 Week Range,52.57 - 85.16
1266,DD,Volume,"1,204,667"
1267,DD,Avg. Volume,"2,944,350"
1268,DXC,Previous Close,25.11
1269,DXC,Open,25.10
1270,DXC,Bid,0.00 x 800
1271,DXC,Ask,0.00 x 1300
1272,DXC,Day's Range,24.81 - 25.15
1273,DXC,52 Week Range,24.53 - 39.65
1274,DXC,Volume,"815,664"
1275,DXC,Avg. Volume,"1,687,500"
1276,EMN,Previous Close,96.97
1277,EMN,Open,97.29
1278,EMN,Bid,0.00 x 900
1279,EMN,Ask,0.00 x 800
1280,EMN,Day's Range,95.95 - 97.46
1281,EMN,52 Week Range,84.95 - 129.48
1282,EMN,Volume,"547,954"
1283,EMN,Avg. Volume,"1,018,166"
1284,ETN,Previous Close,146.31
1285,ETN,Open,146.49
1286,ETN,Bid,143.93 x 800
1287,ETN,Ask,0.00 x 900
1288,ETN,Day's Range,144.89 - 146.75
1289,ETN,52 Week Range,122.50 - 175.72
1290,ETN,Volume,"1,001,832"
1291,ETN,Avg. Volume,"1,629,991"
1292,EBAY,Previous Close,45.43
1293,EBAY,Open,45.23
1294,EBAY,Bid,0.00 x 800
1295,EBAY,Ask,0.00 x 900
1296,EBAY,Day's Range,45.17 - 46.26
1297,EBAY,52 Week Range,40.52 - 81.19
1298,EBAY,Volume,"4,211,997"
1299,EBAY,Avg. Volume,"6,199,506"
1300,ECL,Previous Close,167.52
1301,ECL,Open,169.21
1302,ECL,Bid,0.00 x 800
1303,ECL,Ask,247.00 x 1000
1304,ECL,Day's Range,167.88 - 170.19
1305,ECL,52 Week Range,143.82 - 238.93
1306,ECL,Volume,"581,211"
1307,ECL,Avg. Volume,"1,123,046"
1308,EIX,Previous Close,69.36
1309,EIX,Open,69.07
1310,EIX,Bid,57.60 x 800
1311,EIX,Ask,0.00 x 1000
1312,EIX,Day's Range,68.36 - 69.26
1313,EIX,52 Week Range,54.98 - 73.32
1314,EIX,Volume,"965,054"
1315,EIX,Avg. Volume,"1,653,182"
1316,EW,Previous Close,94.15
1317,EW,Open,94.82
1318,EW,Bid,0.00 x 900
1319,EW,Ask,96.54 x 1000
1320,EW,Day's Range,93.50 - 95.59
1321,EW,52 Week Range,85.58 - 131.73
1322,EW,Volume,"2,483,073"
1323,EW,Avg. Volume,"2,533,233"
1324,EA,Previous Close,126.73
1325,EA,Open,126.47
1326,EA,Bid,125.84 x 800
1327,EA,Ask,128.40 x 900
1328,EA,Day's Range,125.50 - 127.02
1329,EA,52 Week Range,109.24 - 147.76
1330,EA,Volume,"1,405,870"
1331,EA,Avg. Volume,"1,968,917"
1332,ELV,Previous Close,493.23
1333,ELV,Open,492.53
1334,ELV,Bid,0.00 x 1000
1335,ELV,Ask,0.00 x 1100
1336,ELV,Day's Range,489.03 - 495.53
1337,ELV,52 Week Range,355.43 - 533.68
1338,ELV,Volume,"591,162"
1339,ELV,Avg. Volume,"1,007,456"
1340,LLY,Previous Close,315.10
1341,LLY,Open,316.47
1342,LLY,Bid,0.00 x 1200
1343,LLY,Ask,0.00 x 800
1344,LLY,Day's Range,315.22 - 320.86
1345,LLY,52 Week Range,220.20 - 335.33
1346,LLY,Volume,"1,778,382"
1347,LLY,Avg. Volume,"2,829,820"
1348,EMR,Previous Close,86.73
1349,EMR,Open,86.94
1350,EMR,Bid,0.00 x 1000
1351,EMR,Ask,0.00 x 800
1352,EMR,Day's Range,86.28 - 87.25
1353,EMR,52 Week Range,76.16 - 105.99
1354,EMR,Volume,"1,261,256"
1355,EMR,Avg. Volume,"2,724,101"
1356,ENPH,Previous Close,285.41
1357,ENPH,Open,285.45
1358,ENPH,Bid,0.00 x 900
1359,ENPH,Ask,297.99 x 800
1360,ENPH,Day's Range,284.46 - 297.65
1361,ENPH,52 Week Range,113.40 - 308.88
1362,ENPH,Volume,"1,988,216"
1363,ENPH,Avg. Volume,"3,160,769"
1364,ETR,Previous Close,121.65
1365,ETR,Open,121.07
1366,ETR,Bid,119.52 x 900
1367,ETR,Ask,121.17 x 900
1368,ETR,Day's Range,120.32 - 121.94
1369,ETR,52 Week Range,98.50 - 126.82
1370,ETR,Volume,"938,774"
1371,ETR,Avg. Volume,"1,043,785"
1372,EOG,Previous Close,121.78
1373,EOG,Open,122.49
1374,EOG,Bid,121.87 x 1000
1375,EOG,Ask,125.92 x 900
1376,EOG,Day's Range,120.66 - 124.57
1377,EOG,52 Week Range,66.05 - 147.99
1378,EOG,Volume,"3,469,240"
1379,EOG,Avg. Volume,"4,286,450"
1380,EPAM,Previous Close,434.70
1381,EPAM,Open,436.33
1382,EPAM,Bid,0.00 x 800
1383,EPAM,Ask,0.00 x 900
1384,EPAM,Day's Range,432.54 - 440.95
1385,EPAM,52 Week Range,168.59 - 725.40
1386,EPAM,Volume,"274,671"
1387,EPAM,Avg. Volume,"522,904"
1388,EFX,Previous Close,208.69
1389,EFX,Open,206.39
1390,EFX,Bid,207.93 x 800
1391,EFX,Ask,208.07 x 900
1392,EFX,Day's Range,205.05 - 208.23
1393,EFX,52 Week Range,169.25 - 300.11
1394,EFX,Volume,"109,167"
1395,EFX,Avg. Volume,"734,722"
1396,EQIX,Previous Close,667.78
1397,EQIX,Open,669.96
1398,EQIX,Bid,0.00 x 800
1399,EQIX,Ask,0.00 x 800
1400,EQIX,Day's Range,666.13 - 678.79
1401,EQIX,52 Week Range,606.12 - 885.26
1402,EQIX,Volume,"349,610"
1403,EQIX,Avg. Volume,"480,041"
1404,EQR,Previous Close,75.33
1405,EQR,Open,75.26
1406,EQR,Bid,0.00 x 800
1407,EQR,Ask,0.00 x 900
1408,EQR,Day's Range,75.26 - 76.97
1409,EQR,52 Week Range,67.48 - 94.32
1410,EQR,Volume,"1,399,484"
1411,EQR,Avg. Volume,"1,602,082"
1412,ESS,Previous Close,290.01
1413,ESS,Open,286.84
1414,ESS,Bid,280.65 x 800
1415,ESS,Ask,288.49 x 800
1416,ESS,Day's Range,279.65 - 287.95
1417,ESS,52 Week Range,250.62 - 363.36
1418,ESS,Volume,"330,971"
1419,ESS,Avg. Volume,"454,912"
1420,EL,Previous Close,265.56
1421,EL,Open,266.00
1422,EL,Bid,0.00 x 1200
1423,EL,Ask,0.00 x 900
1424,EL,Day's Range,263.81 - 267.48
1425,EL,52 Week Range,225.39 - 374.20
1426,EL,Volume,"1,161,700"
1427,EL,Avg. Volume,"1,337,096"
1428,ETSY,Previous Close,103.74
1429,ETSY,Open,105.26
1430,ETSY,Bid,106.70 x 1300
1431,ETSY,Ask,108.32 x 1300
1432,ETSY,Day's Range,104.23 - 107.81
1433,ETSY,52 Week Range,67.01 - 307.75
1434,ETSY,Volume,"2,038,513"
1435,ETSY,Avg. Volume,"3,982,535"
1436,RE,Previous Close,258.26
1437,RE,Open,258.33
1438,RE,Bid,261.08 x 800
1439,RE,Ask,276.27 x 800
1440,RE,Day's Range,256.42 - 261.77
1441,RE,52 Week Range,248.63 - 308.20
1442,RE,Volume,"417,784"
1443,RE,Avg. Volume,"243,638"
1444,EVRG,Previous Close,71.33
1445,EVRG,Open,71.04
1446,EVRG,Bid,70.58 x 1000
1447,EVRG,Ask,70.62 x 800
1448,EVRG,Day's Range,70.45 - 71.33
1449,EVRG,52 Week Range,59.34 - 73.13
1450,EVRG,Volume,"255,120"
1451,EVRG,Avg. Volume,"1,146,372"
1452,ES,Previous Close,93.63
1453,ES,Open,93.41
1454,ES,Bid,90.38 x 900
1455,ES,Ask,94.19 x 800
1456,ES,Day's Range,91.76 - 93.55
1457,ES,52 Week Range,77.07 - 94.63
1458,ES,Volume,"922,712"
1459,ES,Avg. Volume,"1,463,625"
1460,EXC,Previous Close,45.07
1461,EXC,Open,44.96
1462,EXC,Bid,0.00 x 1400
1463,EXC,Ask,0.00 x 900
1464,EXC,Day's Range,44.92 - 45.54
1465,EXC,52 Week Range,33.88 - 50.71
1466,EXC,Volume,"8,468,117"
1467,EXC,Avg. Volume,"6,146,691"
1468,EXPE,Previous Close,105.97
1469,EXPE,Open,105.46
1470,EXPE,Bid,107.20 x 1000
1471,EXPE,Ask,109.90 x 800
1472,EXPE,Day's Range,104.26 - 107.67
1473,EXPE,52 Week Range,88.70 - 217.72
1474,EXPE,Volume,"1,903,222"
1475,EXPE,Avg. Volume,"2,959,780"
1476,EXPD,Previous Close,107.19
1477,EXPD,Open,105.99
1478,EXPD,Bid,106.98 x 1000
1479,EXPD,Ask,107.01 x 800
1480,EXPD,Day's Range,105.57 - 107.25
1481,EXPD,52 Week Range,92.58 - 137.80
1482,EXPD,Volume,"877,904"
1483,EXPD,Avg. Volume,"1,185,538"
1484,EXR,Previous Close,205.64
1485,EXR,Open,206.19
1486,EXR,Bid,0.00 x 800
1487,EXR,Ask,0.00 x 1000
1488,EXR,Day's Range,206.03 - 210.00
1489,EXR,52 Week Range,156.70 - 228.84
1490,EXR,Volume,"534,648"
1491,EXR,Avg. Volume,"621,651"
1492,XOM,Previous Close,98.00
1493,XOM,Open,98.01
1494,XOM,Bid,99.00 x 1000
1495,XOM,Ask,99.30 x 1800
1496,XOM,Day's Range,97.36 - 98.96
1497,XOM,52 Week Range,52.96 - 105.57
1498,XOM,Volume,"16,750,445"
1499,XOM,Avg. Volume,"24,485,480"
1500,FFIV,Previous Close,166.07
1501,FFIV,Open,166.17
1502,FFIV,Bid,166.26 x 1200
1503,FFIV,Ask,166.26 x 800
1504,FFIV,Day's Range,165.79 - 167.32
1505,FFIV,52 Week Range,142.43 - 249.00
1506,FFIV,Volume,"196,691"
1507,FFIV,Avg. Volume,"504,162"
1508,FDS,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1509,FAST,Previous Close,52.79
1510,FAST,Open,53.05
1511,FAST,Bid,52.13 x 900
1512,FAST,Ask,53.93 x 900
1513,FAST,Day's Range,52.60 - 53.28
1514,FAST,52 Week Range,45.68 - 64.75
1515,FAST,Volume,"1,959,924"
1516,FAST,Avg. Volume,"3,150,520"
1517,FRT,Previous Close,106.12
1518,FRT,Open,106.23
1519,FRT,Bid,0.00 x 800
1520,FRT,Ask,130.33 x 900
1521,FRT,Day's Range,105.75 - 106.88
1522,FRT,52 Week Range,92.02 - 140.51
1523,FRT,Volume,"323,645"
1524,FRT,Avg. Volume,"561,585"
1525,FDX,Previous Close,225.26
1526,FDX,Open,224.88
1527,FDX,Bid,0.00 x 800
1528,FDX,Ask,228.62 x 1200
1529,FDX,Day's Range,222.90 - 227.41
1530,FDX,52 Week Range,192.82 - 269.94
1531,FDX,Volume,"1,067,388"
1532,FDX,Avg. Volume,"2,233,245"
1533,FITB,Previous Close,35.62
1534,FITB,Open,35.53
1535,FITB,Bid,0.00 x 1800
1536,FITB,Ask,0.00 x 800
1537,FITB,Day's Range,35.19 - 35.75
1538,FITB,52 Week Range,31.80 - 50.64
1539,FITB,Volume,"1,941,053"
1540,FITB,Avg. Volume,"4,422,822"
1541,FRC,"
","

Will be right back...
Thank you for your patience.
Our engineers are working quickly to resolve the issue.
"
1542,FE,Previous Close,40.48
1543,FE,Open,40.48
1544,FE,Bid,0.00 x 3100
1545,FE,Ask,0.00 x 1800
1546,FE,Day's Range,40.25 - 41.00
1547,FE,52 Week Range,35.32 - 48.85
1548,FE,Volume,"2,608,652"
1549,FE,Avg. Volume,"3,778,229"
1550,FIS,Previous Close,95.56
1551,FIS,Open,95.46
1552,FIS,Bid,94.14 x 800
1553,FIS,Ask,0.00 x 800
1554,FIS,Day's Range,94.18 - 95.91
1555,FIS,52 Week Range,85.00 - 130.55
1556,FIS,Volume,"3,875,094"
1557,FIS,Avg. Volume,"3,305,393"
1558,FISV,Previous Close,106.01
1559,FISV,Open,105.40
1560,FISV,Bid,0.00 x 800
1561,FISV,Ask,0.00 x 900
1562,FISV,Day's Range,104.80 - 106.53
1563,FISV,52 Week Range,87.03 - 118.99
1564,FISV,Volume,"3,061,657"
1565,FISV,Avg. Volume,"3,203,914"
1566,FLT,Previous Close,226.63
1567,FLT,Open,230.21
1568,FLT,Bid,227.41 x 800
1569,FLT,Ask,227.87 x 900
1570,FLT,Day's Range,227.59 - 233.20
1571,FLT,52 Week Range,200.78 - 282.02
1572,FLT,Volume,"140,211"
1573,FLT,Avg. Volume,"566,287"
1574,FMC,Previous Close,113.29
1575,FMC,Open,113.50
1576,FMC,Bid,91.95 x 900
1577,FMC,Ask,0.00 x 1200
1578,FMC,Day's Range,113.23 - 115.96
1579,FMC,52 Week Range,87.42 - 140.99
1580,FMC,Volume,"820,545"
1581,FMC,Avg. Volume,"819,153"
1582,F,Previous Close,15.32
1583,F,Open,15.32
1584,F,Bid,0.00 x 29200
1585,F,Ask,15.75 x 27000
1586,F,Day's Range,15.24 - 15.66
1587,F,52 Week Range,10.61 - 25.87
1588,F,Volume,"39,055,427"
1589,F,Avg. Volume,"60,428,208"
1590,FTNT,Previous Close,50.59
1591,FTNT,Open,50.74
1592,FTNT,Bid,0.00 x 800
1593,FTNT,Ask,0.00 x 1000
1594,FTNT,Day's Range,49.98 - 50.86
1595,FTNT,52 Week Range,48.73 - 74.35
1596,FTNT,Volume,"3,362,938"
1597,FTNT,Avg. Volume,"5,415,169"
1598,FTV,Previous Close,67.56
1599,FTV,Open,66.52
1600,FTV,Bid,66.37 x 900
1601,FTV,Ask,66.41 x 800
1602,FTV,Day's Range,66.32 - 66.63
1603,FTV,52 Week Range,52.47 - 79.87
1604,FTV,Volume,"665,110"
1605,FTV,Avg. Volume,"2,090,708"
1606,FBHS,Previous Close,69.20
1607,FBHS,Open,68.85
1608,FBHS,Bid,66.30 x 800
1609,FBHS,Ask,81.64 x 900
1610,FBHS,Day's Range,67.09 - 68.85
1611,FBHS,52 Week Range,56.86 - 109.23
1612,FBHS,Volume,"1,467,233"
1613,FBHS,Avg. Volume,"1,169,914"
1614,FOXA,Previous Close,34.88
1615,FOXA,Open,35.18
1616,FOXA,Bid,36.41 x 1100
1617,FOXA,Ask,37.09 x 1100
1618,FOXA,Day's Range,35.18 - 36.54
1619,FOXA,52 Week Range,31.33 - 44.95
1620,FOXA,Volume,"2,739,687"
1621,FOXA,Avg. Volume,"2,348,538"
1622,FOX,Previous Close,32.91
1623,FOX,Open,32.60
1624,FOX,Bid,30.91 x 800
1625,FOX,Ask,32.06 x 800
1626,FOX,Day's Range,31.83 - 32.60
1627,FOX,52 Week Range,28.96 - 40.91
1628,FOX,Volume,"667,126"
1629,FOX,Avg. Volume,"1,022,093"
1630,BEN,Previous Close,27.03
1631,BEN,Open,27.07
1632,BEN,Bid,0.00 x 1300
1633,BEN,Ask,32.02 x 1000
1634,BEN,Day's Range,26.91 - 27.20
1635,BEN,52 Week Range,22.61 - 38.27
1636,BEN,Volume,"1,287,436"
1637,BEN,Avg. Volume,"2,644,700"
1638,FCX,Previous Close,31.79
1639,FCX,Open,31.07
1640,FCX,Bid,0.00 x 1800
1641,FCX,Ask,31.95 x 1200
1642,FCX,Day's Range,30.90 - 31.65
1643,FCX,52 Week Range,24.80 - 51.99
