,symbol,metric,value
389,AJG,Day's Range,188.55 - 190.58
390,AJG,52 Week Range,142.16 - 191.97
391,AJG,Volume,"1,004,992"
392,AJG,Avg. Volume,"814,620"
393,AIZ,Previous Close,171.85
394,AIZ,Open,170.04
395,AIZ,Bid,167.40 x 900
396,AIZ,Ask,167.54 x 800
397,AIZ,Day's Range,166.64 - 170.06
398,AIZ,52 Week Range,144.18 - 194.12
399,AIZ,Volume,"90,197"
400,AIZ,Avg. Volume,"478,920"
401,T,Previous Close,18.06
402,T,Open,18.07
403,T,Bid,0.00 x 36100
404,T,Ask,0.00 x 43500
405,T,Day's Range,17.86 - 18.07
406,T,52 Week Range,16.63 - 21.53
407,T,Volume,"30,215,348"
408,T,Avg. Volume,"37,358,017"
409,ATO,Previous Close,118.01
410,ATO,Open,117.71
411,ATO,Bid,111.43 x 800
412,ATO,Ask,117.72 x 800
413,ATO,Day's Range,116.01 - 117.71
414,ATO,52 Week Range,85.80 - 122.96
415,ATO,Volume,"539,515"
416,ATO,Avg. Volume,"952,814"
417,ADSK,Previous Close,213.63
418,ADSK,Open,215.02
419,ADSK,Bid,229.00 x 800
420,ADSK,Ask,0.00 x 800
421,ADSK,Day's Range,213.52 - 217.27
422,ADSK,52 Week Range,163.20 - 335.48
423,ADSK,Volume,"1,758,851"
424,ADSK,Avg. Volume,"1,514,053"
425,AZO,Previous Close,"2,291.49"
426,AZO,Open,"2,244.13"
427,AZO,Bid,0.00 x 800
428,AZO,Ask,0.00 x 800
429,AZO,Day's Range,"2,206.40 - 2,246.27"
430,AZO,52 Week Range,"1,503.30 - 2,362.24"
431,AZO,Volume,"193,096"
432,AZO,Avg. Volume,"160,388"
433,AVB,Previous Close,206.67
434,AVB,Open,207.27
435,AVB,Bid,200.06 x 1100
436,AVB,Ask,239.50 x 900
437,AVB,Day's Range,206.70 - 210.42
438,AVB,52 Week Range,183.35 - 259.05
439,AVB,Volume,"662,479"
440,AVB,Avg. Volume,"712,601"
441,AVY,Previous Close,189.14
442,AVY,Open,190.45
443,AVY,Bid,0.00 x 1000
444,AVY,Ask,0.00 x 1200
445,AVY,Day's Range,186.84 - 190.62
446,AVY,52 Week Range,151.62 - 229.24
447,AVY,Volume,"567,597"
448,AVY,Avg. Volume,"527,661"
449,BKR,Previous Close,26.10
450,BKR,Open,25.93
451,BKR,Bid,0.00 x 3100
452,BKR,Ask,0.00 x 800
453,BKR,Day's Range,25.91 - 26.61
454,BKR,52 Week Range,22.11 - 39.78
455,BKR,Volume,"6,576,912"
456,BKR,Avg. Volume,"9,810,720"
457,BALL,Previous Close,61.06
458,BALL,Open,60.91
459,BALL,Bid,0.00 x 1300
460,BALL,Ask,0.00 x 800
461,BALL,Day's Range,60.68 - 61.76
462,BALL,52 Week Range,54.77 - 98.09
463,BALL,Volume,"1,367,413"
